Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,Footnote
09/01/2021,01/01/2020,08/28/2021,AK,Aleutians East Borough,2013,Noncore,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AK,Anchorage Municipality,2020,Medium metro,236,3455,
09/01/2021,01/01/2020,08/28/2021,AK,Bethel Census Area,2050,Noncore,17,164,
09/01/2021,01/01/2020,08/28/2021,AK,Dillingham Census Area,2070,Noncore,,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AK,Fairbanks North Star Borough,2090,Small metro,57,828,
09/01/2021,01/01/2020,08/28/2021,AK,Hoonah-Angoon Census Area,2105,Noncore,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AK,Juneau City and Borough,2110,Micropolitan,,267,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AK,Kenai Peninsula Borough,2122,Noncore,21,559,
09/01/2021,01/01/2020,08/28/2021,AK,Ketchikan Gateway Borough,2130,Micropolitan,,135,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AK,Kodiak Island Borough,2150,Noncore,,104,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AK,Matanuska-Susitna Borough,2170,Medium metro,54,974,
09/01/2021,01/01/2020,08/28/2021,AK,North Slope Borough,2185,Noncore,,56,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AK,Sitka City and Borough,2220,Noncore,,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AK,Valdez-Cordova Census Area,2261,Noncore,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AK,Wade Hampton Census Area,2270,Noncore,,57,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AL,Autauga County,1001,Medium metro,100,852,
09/01/2021,01/01/2020,08/28/2021,AL,Baldwin County,1003,Small metro,343,3950,
09/01/2021,01/01/2020,08/28/2021,AL,Barbour County,1005,Noncore,46,457,
09/01/2021,01/01/2020,08/28/2021,AL,Bibb County,1007,Large fringe metro,32,314,
09/01/2021,01/01/2020,08/28/2021,AL,Blount County,1009,Large fringe metro,53,831,
09/01/2021,01/01/2020,08/28/2021,AL,Bullock County,1011,Noncore,,170,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AL,Butler County,1013,Noncore,35,408,
09/01/2021,01/01/2020,08/28/2021,AL,Calhoun County,1015,Small metro,334,2718,
09/01/2021,01/01/2020,08/28/2021,AL,Chambers County,1017,Micropolitan,40,607,
09/01/2021,01/01/2020,08/28/2021,AL,Cherokee County,1019,Noncore,19,467,
09/01/2021,01/01/2020,08/28/2021,AL,Chilton County,1021,Large fringe metro,35,668,
09/01/2021,01/01/2020,08/28/2021,AL,Choctaw County,1023,Noncore,16,202,
09/01/2021,01/01/2020,08/28/2021,AL,Clarke County,1025,Noncore,21,475,
09/01/2021,01/01/2020,08/28/2021,AL,Clay County,1027,Noncore,37,329,
09/01/2021,01/01/2020,08/28/2021,AL,Cleburne County,1029,Noncore,16,245,
09/01/2021,01/01/2020,08/28/2021,AL,Coffee County,1031,Micropolitan,114,920,
09/01/2021,01/01/2020,08/28/2021,AL,Colbert County,1033,Small metro,187,1224,
09/01/2021,01/01/2020,08/28/2021,AL,Conecuh County,1035,Noncore,13,223,
09/01/2021,01/01/2020,08/28/2021,AL,Coosa County,1037,Micropolitan,,140,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AL,Covington County,1039,Noncore,137,959,
09/01/2021,01/01/2020,08/28/2021,AL,Crenshaw County,1041,Noncore,35,305,
09/01/2021,01/01/2020,08/28/2021,AL,Cullman County,1043,Micropolitan,234,1944,
09/01/2021,01/01/2020,08/28/2021,AL,Dale County,1045,Micropolitan,85,760,
09/01/2021,01/01/2020,08/28/2021,AL,Dallas County,1047,Micropolitan,125,875,
09/01/2021,01/01/2020,08/28/2021,AL,DeKalb County,1049,Noncore,123,1264,
09/01/2021,01/01/2020,08/28/2021,AL,Elmore County,1051,Medium metro,61,1150,
09/01/2021,01/01/2020,08/28/2021,AL,Escambia County,1053,Noncore,71,704,
09/01/2021,01/01/2020,08/28/2021,AL,Etowah County,1055,Small metro,412,2926,
09/01/2021,01/01/2020,08/28/2021,AL,Fayette County,1057,Noncore,27,285,
09/01/2021,01/01/2020,08/28/2021,AL,Franklin County,1059,Noncore,36,538,
09/01/2021,01/01/2020,08/28/2021,AL,Geneva County,1061,Small metro,46,571,
09/01/2021,01/01/2020,08/28/2021,AL,Greene County,1063,Noncore,,123,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AL,Hale County,1065,Small metro,21,258,
09/01/2021,01/01/2020,08/28/2021,AL,Henry County,1067,Small metro,,250,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AL,Houston County,1069,Small metro,650,3638,
09/01/2021,01/01/2020,08/28/2021,AL,Jackson County,1071,Micropolitan,76,1109,
09/01/2021,01/01/2020,08/28/2021,AL,Jefferson County,1073,Large central metro,2400,18812,
09/01/2021,01/01/2020,08/28/2021,AL,Lamar County,1075,Noncore,12,192,
09/01/2021,01/01/2020,08/28/2021,AL,Lauderdale County,1077,Small metro,292,2569,
09/01/2021,01/01/2020,08/28/2021,AL,Lawrence County,1079,Small metro,27,558,
09/01/2021,01/01/2020,08/28/2021,AL,Lee County,1081,Small metro,339,2269,
09/01/2021,01/01/2020,08/28/2021,AL,Limestone County,1083,Medium metro,133,1455,
09/01/2021,01/01/2020,08/28/2021,AL,Lowndes County,1085,Medium metro,,140,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AL,Macon County,1087,Noncore,11,269,
09/01/2021,01/01/2020,08/28/2021,AL,Madison County,1089,Medium metro,748,7581,
09/01/2021,01/01/2020,08/28/2021,AL,Marengo County,1091,Noncore,70,471,
09/01/2021,01/01/2020,08/28/2021,AL,Marion County,1093,Noncore,79,688,
09/01/2021,01/01/2020,08/28/2021,AL,Marshall County,1095,Micropolitan,237,2194,
09/01/2021,01/01/2020,08/28/2021,AL,Mobile County,1097,Medium metro,1140,9728,
09/01/2021,01/01/2020,08/28/2021,AL,Monroe County,1099,Noncore,26,407,
09/01/2021,01/01/2020,08/28/2021,AL,Montgomery County,1101,Medium metro,958,5871,
09/01/2021,01/01/2020,08/28/2021,AL,Morgan County,1103,Small metro,259,2434,
09/01/2021,01/01/2020,08/28/2021,AL,Perry County,1105,Noncore,,132,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AL,Pickens County,1107,Small metro,15,280,
09/01/2021,01/01/2020,08/28/2021,AL,Pike County,1109,Micropolitan,75,540,
09/01/2021,01/01/2020,08/28/2021,AL,Randolph County,1111,Noncore,15,371,
09/01/2021,01/01/2020,08/28/2021,AL,Russell County,1113,Medium metro,54,706,
09/01/2021,01/01/2020,08/28/2021,AL,St. Clair County,1115,Large fringe metro,113,1411,
09/01/2021,01/01/2020,08/28/2021,AL,Shelby County,1117,Large fringe metro,194,2449,
09/01/2021,01/01/2020,08/28/2021,AL,Sumter County,1119,Noncore,,192,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AL,Talladega County,1121,Micropolitan,135,1562,
09/01/2021,01/01/2020,08/28/2021,AL,Tallapoosa County,1123,Noncore,120,974,
09/01/2021,01/01/2020,08/28/2021,AL,Tuscaloosa County,1125,Small metro,657,4284,
09/01/2021,01/01/2020,08/28/2021,AL,Walker County,1127,Large fringe metro,214,1791,
09/01/2021,01/01/2020,08/28/2021,AL,Washington County,1129,Noncore,15,228,
09/01/2021,01/01/2020,08/28/2021,AL,Wilcox County,1131,Noncore,,155,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AL,Winston County,1133,Noncore,38,479,
09/01/2021,01/01/2020,08/28/2021,AR,Arkansas County,5001,Noncore,16,376,
09/01/2021,01/01/2020,08/28/2021,AR,Ashley County,5003,Noncore,14,328,
09/01/2021,01/01/2020,08/28/2021,AR,Baxter County,5005,Micropolitan,221,1657,
09/01/2021,01/01/2020,08/28/2021,AR,Benton County,5007,Medium metro,561,3598,
09/01/2021,01/01/2020,08/28/2021,AR,Boone County,5009,Micropolitan,97,780,
09/01/2021,01/01/2020,08/28/2021,AR,Bradley County,5011,Noncore,20,167,
09/01/2021,01/01/2020,08/28/2021,AR,Carroll County,5015,Noncore,23,376,
09/01/2021,01/01/2020,08/28/2021,AR,Chicot County,5017,Noncore,23,198,
09/01/2021,01/01/2020,08/28/2021,AR,Clark County,5019,Micropolitan,26,368,
09/01/2021,01/01/2020,08/28/2021,AR,Clay County,5021,Noncore,30,304,
09/01/2021,01/01/2020,08/28/2021,AR,Cleburne County,5023,Noncore,35,488,
09/01/2021,01/01/2020,08/28/2021,AR,Cleveland County,5025,Small metro,,112,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AR,Columbia County,5027,Micropolitan,57,449,
09/01/2021,01/01/2020,08/28/2021,AR,Conway County,5029,Noncore,10,326,
09/01/2021,01/01/2020,08/28/2021,AR,Craighead County,5031,Small metro,639,3980,
09/01/2021,01/01/2020,08/28/2021,AR,Crawford County,5033,Medium metro,40,791,
09/01/2021,01/01/2020,08/28/2021,AR,Crittenden County,5035,Large fringe metro,44,642,
09/01/2021,01/01/2020,08/28/2021,AR,Cross County,5037,Noncore,20,297,
09/01/2021,01/01/2020,08/28/2021,AR,Dallas County,5039,Noncore,15,157,
09/01/2021,01/01/2020,08/28/2021,AR,Desha County,5041,Noncore,,188,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AR,Drew County,5043,Noncore,21,354,
09/01/2021,01/01/2020,08/28/2021,AR,Faulkner County,5045,Medium metro,265,2036,
09/01/2021,01/01/2020,08/28/2021,AR,Franklin County,5047,Noncore,24,307,
09/01/2021,01/01/2020,08/28/2021,AR,Fulton County,5049,Noncore,36,299,
09/01/2021,01/01/2020,08/28/2021,AR,Garland County,5051,Small metro,468,3387,
09/01/2021,01/01/2020,08/28/2021,AR,Grant County,5053,Medium metro,14,240,
09/01/2021,01/01/2020,08/28/2021,AR,Greene County,5055,Micropolitan,56,684,
09/01/2021,01/01/2020,08/28/2021,AR,Hempstead County,5057,Noncore,21,299,
09/01/2021,01/01/2020,08/28/2021,AR,Hot Spring County,5059,Micropolitan,22,502,
09/01/2021,01/01/2020,08/28/2021,AR,Howard County,5061,Noncore,26,240,
09/01/2021,01/01/2020,08/28/2021,AR,Independence County,5063,Micropolitan,209,1075,
09/01/2021,01/01/2020,08/28/2021,AR,Izard County,5065,Noncore,23,281,
09/01/2021,01/01/2020,08/28/2021,AR,Jackson County,5067,Noncore,14,288,
09/01/2021,01/01/2020,08/28/2021,AR,Jefferson County,5069,Small metro,208,1588,
09/01/2021,01/01/2020,08/28/2021,AR,Johnson County,5071,Noncore,33,372,
09/01/2021,01/01/2020,08/28/2021,AR,Lafayette County,5073,Noncore,,100,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AR,Lawrence County,5075,Noncore,21,244,
09/01/2021,01/01/2020,08/28/2021,AR,Lee County,5077,Noncore,10,147,
09/01/2021,01/01/2020,08/28/2021,AR,Lincoln County,5079,Small metro,14,151,
09/01/2021,01/01/2020,08/28/2021,AR,Little River County,5081,Small metro,34,248,
09/01/2021,01/01/2020,08/28/2021,AR,Logan County,5083,Noncore,22,389,
09/01/2021,01/01/2020,08/28/2021,AR,Lonoke County,5085,Medium metro,40,783,
09/01/2021,01/01/2020,08/28/2021,AR,Madison County,5087,Medium metro,,185,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AR,Marion County,5089,Noncore,26,320,
09/01/2021,01/01/2020,08/28/2021,AR,Miller County,5091,Small metro,22,531,
09/01/2021,01/01/2020,08/28/2021,AR,Mississippi County,5093,Micropolitan,43,636,
09/01/2021,01/01/2020,08/28/2021,AR,Montgomery County,5097,Noncore,14,157,
09/01/2021,01/01/2020,08/28/2021,AR,Nevada County,5099,Noncore,12,124,
09/01/2021,01/01/2020,08/28/2021,AR,Newton County,5101,Micropolitan,16,139,
09/01/2021,01/01/2020,08/28/2021,AR,Ouachita County,5103,Micropolitan,54,500,
09/01/2021,01/01/2020,08/28/2021,AR,Perry County,5105,Medium metro,,125,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AR,Phillips County,5107,Micropolitan,29,324,
09/01/2021,01/01/2020,08/28/2021,AR,Pike County,5109,Noncore,,151,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AR,Poinsett County,5111,Small metro,16,279,
09/01/2021,01/01/2020,08/28/2021,AR,Polk County,5113,Noncore,79,418,
09/01/2021,01/01/2020,08/28/2021,AR,Pope County,5115,Micropolitan,84,1150,
09/01/2021,01/01/2020,08/28/2021,AR,Prairie County,5117,Noncore,,146,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/01/2021,01/01/2020,08/28/2021,AR,Pulaski County,5119,Medium metro,1486,12066,
09/01/2021,01/01/2020,08/28/2021,AR,Randolph County,5121,Noncore,24,281,
